latitude,longitude,var
81.75,-26.75,1.0
81.75,-26.625,1.0
81.75,-26.5,1.0
81.75,-26.375,1.0
81.75,-24.375,1.0
81.75,-24.25,1.0
81.75,-24.125,1.0
81.75,-24.0,1.0
81.75,-23.875,1.0
81.75,-23.75,1.0
81.75,-23.625,1.0
81.75,-23.5,1.0
81.75,-23.375,1.0
81.75,-23.25,1.0
81.75,-23.125,1.0
81.75,-23.0,1.0
81.75,-22.875,1.0
81.75,-22.75,1.0
81.75,-22.625,1.0
81.75,-16.125,1.0
81.75,-16.0,1.0
81.75,-15.875,1.0
81.75,-15.75,1.0
81.75,-15.625,1.0
81.75,-15.5,1.0
81.75,-15.375,1.0
81.75,-15.25,1.0
81.75,-15.125,1.0
81.75,-15.0,1.0
81.75,-14.875,1.0
81.75,-14.75,1.0
81.75,-14.625,1.0
81.75,-14.5,1.0
81.75,-14.375,1.0
81.75,-14.25,1.0
81.75,-14.125,1.0
81.75,-14.0,1.0
81.75,-13.875,1.0
81.75,-13.75,1.0
81.75,-13.625,1.0
81.625,-35.0,1.0
81.625,-34.875,1.0
81.625,-34.75,1.0
81.625,-34.625,1.0
81.625,-34.5,1.0
81.625,-34.375,1.0
